// 645-08-01_1329-09-30
// コメント
// 書式:
// 元号(なかった時期は空文字),%Y-&m-%d(始期),%Y-%m-%d(終期)(改行)
// 先頭から順に処理されます
// ユリウス暦であった1573-08-25以前の日付は、グレゴリオ暦に変換してあります。
// 飛鳥時代
大化,645-08-01,650-03-25
白雉,650-03-25,655-02-14
,655-02-15,686-08-17
朱鳥,686-08-17,687-02-20
,687-02-21,701-05-07
大宝,701-05-07,704-06-20
慶雲,704-06-20,708-02-11
和銅,708-02-11,715-10-07
// 奈良時代
霊亀,715-10-07,717-12-28
養老,717-12-28,724-03-07
神亀,724-03-07,729-09-06
天平,729-09-06,749-05-08
天平感宝,749-05-08,749-08-23
天平勝宝,749-08-23,757-09-10
天平宝字,757-09-10,765-02-05
天平神護,765-02-05,767-09-17
神護景雲,767-09-17,770-10-27
宝亀,770-10-27,781-02-03
天応,781-02-03,782-10-04
延暦,782-10-04,806-06-12
// 平安時代
大同,806-06-12,810-10-24
弘仁,810-10-24,824-02-12
天長,824-02-12,834-02-18
承和,834-02-18,848-07-20
嘉祥,848-07-20,851-06-05
仁寿,851-06-05,854-12-27
斉衡,854-12-27,857-03-24
天安,857-03-24,859-05-24
貞観,859-05-24,877-06-05
元慶,877-06-05,885-03-15
仁和,885-03-15,889-06-03
寛平,889-06-03,898-05-24
昌泰,898-05-24,901-09-05
延喜,901-09-05,923-06-03
延長,923-06-03,931-05-21
承平,931-05-21,938-06-27
天慶,938-06-27,947-05-20
天暦,947-05-20,957-11-26
天徳,957-11-26,961-03-10
応和,961-03-10,964-08-24
康保,964-08-24,968-09-13
安和,968-09-13,970-05-08
天禄,970-05-08,974-01-21
天延,974-01-21,976-08-16
貞元,976-08-16,979-01-05
天元,979-01-05,983-06-03
永観,983-06-03,985-05-24
寛和,985-05-24,987-05-10
永延,987-05-10,989-09-10
永祚,989-09-10,990-12-01
正暦,990-12-01,995-03-30
長徳,995-03-30,999-02-06
長保,999-02-06,1004-08-14
寛弘,1004-08-14,1013-02-14
長和,1013-02-14,1017-05-27
寛仁,1017-05-27,1021-03-23
治安,1021-03-23,1024-08-25
万寿,1024-08-25,1028-08-24
長元,1028-08-24,1037-05-15
長暦,1037-05-15,1040-12-22
