// 1329-09-30_1394-08-10
// コメント
// 書式:
// 元号(なかった時期は空文字),%Y-&m-%d(始期),%Y-%m-%d(終期)(改行)
// 先頭から順に処理されます
// ユリウス暦であった1573-08-25以前の日付は、グレゴリオ暦に変換してあります。
// 1329-09-30から
元徳,1329-09-30,1332-05-31
正慶,1332-05-31,1333-07-15
// 後醍醐天皇が帰京してから建武が始まるまで空白期間がある。
,1333-07-15,1334-03-13
建武,1334-03-13,1338-10-19
暦応,1338-10-19,1342-06-09
康永,1342-06-09,1345-11-23
貞和,1345-11-23,1350-04-12
観応,1350-04-12,1352-11-12
文和,1352-11-12,1356-05-07
延文,1356-05-07,1361-05-12
康安,1361-05-12,1362-10-19
貞治,1362-10-19,1368-03-15
応安,1368-03-15,1375-04-06
永和,1375-04-06,1379-04-17
康暦,1379-04-17,1381-03-28
永徳,1381-03-28,1384-03-27
至徳,1384-03-27,1387-10-13
嘉慶,1387-10-13,1389-03-15
康応,1389-03-15,1390-04-20
明徳,1390-04-20,1394-08-10
