// 1394-08-10_1573-09-04
// コメント
// 書式:
// 元号(なかった時期は空文字),%Y-&m-%d(始期),%Y-%m-%d(終期)(改行)
// 先頭から順に処理されます
// ユリウス暦であった1573-08-25以前の日付は、グレゴリオ暦に変換してあります。
// 1394-08-10から 南北朝統一後
応永,1394-08-10,1428-06-19
正長,1428-06-19,1429-10-12
永享,1429-10-12,1441-03-19
嘉吉,1441-03-19,1444-03-03
文安,1444-03-03,1449-08-25
宝徳,1449-08-25,1452-08-19
享徳,1452-08-19,1455-09-15
康正,1455-09-15,1457-10-25
長禄,1457-10-25,1461-02-10
寛正,1461-02-10,1466-03-23
文正,1466-03-23,1467-04-18
// 戦国時代
応仁,1467-04-18,1469-06-17
文明,1469-06-17,1487-08-18
長享,1487-08-18,1489-09-25
延徳,1489-09-25,1492-08-21
明応,1492-08-21,1501-03-28
文亀,1501-03-28,1504-03-26
永正,1504-03-26,1521-10-03
大永,1521-10-03,1528-09-13
享禄,1528-09-13,1532-09-08
天文,1532-09-08,1555-11-17
弘治,1555-11-17,1558-03-28
永禄,1558-03-28,1570-06-06
元亀,1570-06-06,1573-09-04
