// 1573-09-04_1868-10-23
// コメント
// 書式:
// 元号(なかった時期は空文字),%Y-&m-%d(始期),%Y-%m-%d(終期)(改行)
// 先頭から順に処理されます
// ユリウス暦であった1573-08-25以前の日付は、グレゴリオ暦に変換してあります。
// 安土桃山時代
天正,1573-09-04,1593-01-10
文禄,1593-01-10,1596-12-16
慶長,1596-12-16,1615-09-05
// 江戸時代
元和,1615-09-05,1624-04-17
寛永,1624-04-17,1645-01-13
正保,1645-01-13,1648-04-07
慶安,1648-04-07,1652-10-20
承応,1652-10-20,1655-05-18
明暦,1655-05-18,1658-08-21
万治,1658-08-21,1661-05-23
寛文,1661-05-23,1673-10-30
延宝,1673-10-30,1681-11-09
天和,1681-11-09,1684-04-05
貞享,1684-04-05,1688-10-23
元禄,1688-10-23,1704-04-16
宝永,1704-04-16,1711-06-11
正徳,1711-06-11,1716-08-09
享保,1716-08-09,1736-06-07
元文,1736-06-07,1741-04-12
寛保,1741-04-12,1744-04-03
延享,1744-04-03,1748-08-05
寛延,1748-08-05,1751-12-14
宝暦,1751-12-14,1764-06-30
明和,1764-06-30,1772-12-10
安永,1772-12-10,1781-04-25
天明,1781-04-25,1789-02-19
寛政,1789-02-19,1801-03-19
享和,1801-03-19,1804-03-22
文化,1804-03-22,1818-05-26
文政,1818-05-26,1831-01-23
天保,1831-01-23,1845-01-09
弘化,1845-01-09,1848-04-01
嘉永,1848-04-01,1855-01-15
安政,1855-01-15,1860-04-08
万延,1860-04-08,1861-03-29
文久,1861-03-29,1864-03-27
元治,1864-03-27,1865-05-01
慶応,1865-05-01,1868-10-23
